,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,1,0.30196366336029745,1.0
AMGN,5243,3,0.37114864197108915,0.6666666666666666
AXP,5243,2,0.8825543707621872,0.5
BA,5243,3,0.8834207785113016,1.0
CAT,5243,2,0.6263417868488121,1.0
CRM,,,,
CSCO,5243,1,0.5853373546136024,1.0
CVX,5243,2,0.7652675702394794,1.0
DIS,5243,3,2.024761494706807,1.0
DOW,,,,
GS,5243,2,0.15617675982642337,1.0
HD,5243,2,0.46438267397719946,1.0
HON,5243,2,3.0678035967221935,1.0
IBM,5243,2,0.038004222401718725,0.5
INTC,5243,2,0.5578338326681389,1.0
JNJ,5243,2,0.3703296627478576,1.0
JPM,5243,3,1.0930055549832485,1.0
KO,5243,2,0.26289203761647806,1.0
MCD,5243,1,0.1887694008722608,1.0
MMM,5243,2,1.515133160720428,1.0
MRK,5243,2,0.02061593275961571,0.5
MSFT,5243,3,2.093351457557631,1.0
NKE,5243,1,0.35346250393818646,1.0
PG,5243,3,1.6049415927182213,1.0
TRV,5243,4,0.9511934112102967,0.75
UNH,5243,2,0.5698732345603443,1.0
V,,,,
VZ,5243,2,0.35864087124031807,1.0
WBA,5243,2,0.23047682750241272,1.0
WMT,5243,1,0.19624705375036644,1.0
