,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,225,1.251785817149715,0.8133333333333334
AMGN,5243,260,4.728411157284736,0.7923076923076923
AXP,5243,248,2.9790532731103974,0.8225806451612904
BA,5243,243,0.41279510840324124,0.7901234567901234
CAT,5243,231,0.8938115238393436,0.7878787878787878
CRM,4121,184,10.44060337696846,0.8315217391304348
CSCO,5243,260,0.603155438666923,0.7807692307692308
CVX,5243,263,2.759700991391717,0.7908745247148289
DIS,5243,236,0.6330790559705778,0.7669491525423728
DOW,411,23,-0.062972968922636,0.9130434782608695
GS,5243,219,-0.4941189655521743,0.7899543378995434
HD,5243,245,0.5299362180592327,0.7877551020408163
HON,5243,274,1.3839184860935052,0.8394160583941606
IBM,5243,248,0.005636938340412103,0.7540322580645161
INTC,5243,220,-0.21154132204980497,0.7772727272727272
JNJ,5243,284,3.5045106374588757,0.8309859154929577
JPM,5243,254,2.032237303010032,0.8070866141732284
KO,5243,277,3.0116473927366902,0.8158844765342961
MCD,5243,268,3.8351487700697677,0.8395522388059702
MMM,5243,250,2.499734601873778,0.808
MRK,5243,264,1.1429308146402506,0.7954545454545454
MSFT,5243,263,3.979055602801497,0.8365019011406845
NKE,5243,246,6.793963453243816,0.8170731707317073
PG,5243,264,3.3376412449089585,0.8257575757575758
TRV,5243,263,6.010318177922665,0.844106463878327
UNH,5243,244,9.220205686763055,0.819672131147541
V,3180,166,7.110884148853769,0.8674698795180723
VZ,5243,267,0.9674377031634215,0.7902621722846442
WBA,5243,259,2.254422903246623,0.7722007722007722
WMT,5243,293,10.3708129085844,0.825938566552901
