,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,590,11.21991256860469,0.7372881355932204
AMGN,5243,674,17.100899081563927,0.7240356083086054
AXP,5243,652,7.6507118625183494,0.7070552147239264
BA,5243,650,3.216160948576837,0.7569230769230769
CAT,5243,587,-0.27411137101057464,0.7018739352640545
CRM,4121,488,8.534781841097223,0.7274590163934426
CSCO,5243,604,1.9031584577564484,0.7086092715231788
CVX,5243,671,3.535655621449859,0.7302533532041728
DIS,5243,650,2.442283660199667,0.7353846153846154
DOW,411,53,0.16605285688808352,0.7169811320754716
GS,5243,607,1.8060989695801064,0.6738056013179572
HD,5243,622,0.6820222867034524,0.7186495176848875
HON,5243,654,2.1288594261878577,0.7507645259938838
IBM,5243,655,1.0658309896279439,0.7312977099236642
INTC,5243,648,5.699842101811813,0.7175925925925926
JNJ,5243,658,6.173093652254435,0.7416413373860182
JPM,5243,629,4.7629174731256505,0.7281399046104928
KO,5243,650,3.687585591045797,0.7461538461538462
MCD,5243,648,6.6227767072653965,0.7438271604938271
MMM,5243,653,5.3578933681711565,0.7549770290964778
MRK,5243,644,3.4561413800668195,0.7220496894409938
MSFT,5243,660,13.681182947992037,0.7681818181818182
NKE,5243,609,11.58374927531637,0.7454844006568144
PG,5243,651,4.757050807012503,0.738863287250384
TRV,5243,655,15.687283545488356,0.749618320610687
UNH,5243,634,9.347646293612854,0.750788643533123
V,3180,425,18.06366041997823,0.8117647058823529
VZ,5243,655,2.0489017367842997,0.6961832061068702
WBA,5243,641,3.1854458879757224,0.7394695787831513
WMT,5243,656,8.87245376852883,0.7378048780487805
