,total_trading_times,avg_trading_times,avg_win_rate,avg_return_rate
EMA,274769.0,566.5340206185567,0.7342529696543085,10.48269554995841
EMAandMACD,87807.0,181.04536082474226,0.710015333733939,5.126389156056991
EMAandSMA,97950.0,201.95876288659792,0.8059778933229024,5.077386871352413
MACD,91274.0,188.19381443298968,0.715291826061517,5.045082271470606
MACDandRSI50andEMA,64732.0,133.4680412371134,0.7121956164792361,4.597357749305557
MACD_10_20,104041.0,214.51752577319587,0.7112692901618245,5.511353594727066
MACD_10_20andRSI30andEMA,7736.0,16.016563146997928,0.760579838740016,2.3253926429246152
MACD_10_20andRSI50andEMA,69745.0,143.8041237113402,0.7187522826399981,4.730801729609121
MACD_10_20andRSI50andEMAandSMA,62391.0,128.64123711340207,0.7469650850310217,4.368547921639051
MACD_10_20andRSI50andSMA,62374.0,128.6061855670103,0.7469446080658261,4.351800940188912
MFI,7647.0,15.93125,0.7412971313731718,2.2976127258548398
MFIandEMA,7515.0,15.65625,0.7471929628542813,2.3380934085738896
MFIandMACD_10_20,7549.0,15.727083333333333,0.7445908532081162,2.278308747357417
MFIandRSI30,3693.0,7.7259414225941425,0.7792430924491595,1.900033385855987
MFIandRSI50,7507.0,15.639583333333333,0.7431115690184392,2.2705503248925174
MFIandSMA,7525.0,15.677083333333334,0.7430029493244408,2.2657226462099964
RSI20,1022.0,2.3333333333333335,0.8481735159817352,1.6213125752561988
RSI30,7739.0,16.022774327122153,0.7605383236861792,2.357128708861381
RSI30andEMA,7741.0,16.026915113871635,0.760572830242425,2.3585367924657223
RSI30andMACD_10_20,7735.0,16.014492753623188,0.7605502616918054,2.3251315667330394
RSI30andSMA,7739.0,16.022774327122153,0.7605383236861792,2.357128708861381
RSI50,129910.0,267.8556701030928,0.8070745355170298,5.680757206146726
RSI50andEMA,115614.0,238.37938144329897,0.7892037608597257,5.948637583876701
RSI50andMACD_10_20,69731.0,143.77525773195876,0.71872994688355,4.718216738140212
RSI50andSMA,94963.0,195.8,0.8088459411736092,4.966970981581574
SMA,109638.0,226.0577319587629,0.8181032776058617,4.967860121478478
