,total_trading_times,avg_trading_times,avg_win_rate,avg_return_rate
EMA,18273.0,609.1,0.7337640371047464,6.138864738539138
EMAandSMA,6516.0,217.2,0.7978304799815089,3.3350028673237926
MACD_10_20,6816.0,227.2,0.701198102388884,2.8627575753384398
MACD_10_20andRSI30andEMA,513.0,17.1,0.7727062492890666,1.9769314994772784
MACD_10_20andRSI50andEMA,4632.0,154.4,0.705699816124317,3.39612735047646
MACD_10_20andRSI50andEMAandSMA,4150.0,138.33333333333334,0.7389862511489608,3.517337188834975
MACD_10_20andRSI50andSMA,4147.0,138.23333333333332,0.7385936942239453,3.495424586923973
MFI,468.0,16.137931034482758,0.7522327470283062,2.141684270316695
MFIandEMA,463.0,15.96551724137931,0.7546147641428952,2.1250010888543303
MFIandMACD_10_20,463.0,15.96551724137931,0.7519681598308696,2.096391564749564
MFIandRSI30,234.0,8.068965517241379,0.8110800119420809,1.8894547587053645
MFIandRSI50,465.0,16.03448275862069,0.7525548387297081,2.1571150316953553
MFIandSMA,465.0,16.03448275862069,0.7519801260860299,2.1723227463899346
Random,24781.0,826.0333333333333,0.5224292535371203,3.4845193411829998
RSI20,57.0,2.111111111111111,0.9228395061728394,0.7605159055106264
RSI30,512.0,17.066666666666666,0.7720526545178248,2.1569944460792545
RSI30andEMA,513.0,17.1,0.7721320195971899,2.175461265424782
RSI30andMACD_10_20,513.0,17.1,0.7727062492890666,1.9769314994772784
RSI30andSMA,512.0,17.066666666666666,0.7720526545178248,2.1569944460792545
RSI50,8694.0,289.8,0.8006971225264105,3.932807597026839
RSI50andEMA,7706.0,256.8666666666667,0.7820936342382019,4.112678059009332
RSI50andMACD_10_20,4629.0,154.3,0.7051371996918632,3.3766802472617927
RSI50andSMA,6290.0,209.66666666666666,0.8000008119425175,3.1815400000037384
SMA,7241.0,241.36666666666667,0.811125298274465,3.064140182601042
