,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,146,0.27213984771974475,0.7534246575342466
ABNB,,,,
ADBE,5243,164,26.682387548011064,0.7804878048780488
ADI,5243,170,11.527466377359277,0.6647058823529411
ADP,5243,175,3.8615689822160713,0.7085714285714285
ADSK,5243,157,3.4752348377500706,0.7707006369426752
AEP,5243,146,0.18868604060598604,0.6917808219178082
ALGN,4972,141,10.320351472095041,0.7375886524822695
AMAT,5243,156,2.205222918141896,0.6602564102564102
AMD,5233,145,-0.7593529974606075,0.6482758620689655
AMGN,5243,159,2.1080900669436575,0.660377358490566
AMZN,5243,150,5.949131681636722,0.7066666666666667
ANSS,5233,175,44.759929901295976,0.76
ASML,5243,166,23.23891635455868,0.7048192771084337
ATVI,5243,164,14.478423488869868,0.7439024390243902
AVGO,2831,81,3.31430343555496,0.691358024691358
BIDU,3838,111,4.893298921620717,0.6846846846846847
BIIB,5222,162,7.776879642828398,0.6851851851851852
BKNG,5243,148,-0.6830813751996493,0.6959459459459459
CDNS,5243,155,3.4132972071131755,0.7290322580645161
CHTR,2602,70,4.831080414652542,0.8
CMCSA,5243,168,5.711111787866404,0.7083333333333334
COST,5243,176,14.423537280955873,0.7727272727272727
CPRT,5243,156,3.046097149601283,0.7371794871794872
CRWD,353,8,-0.1418623545279122,0.625
CSCO,5243,162,0.5341204500995904,0.6790123456790124
CSX,5243,161,9.02192615667042,0.7577639751552795
CTAS,5243,163,5.356894883736573,0.7423312883435583
CTSH,5243,158,9.378773607133933,0.7278481012658228
DDOG,284,8,0.1779188185463557,0.75
DLTR,5243,160,6.705025759150253,0.73125
DOCU,635,20,1.1193425952589964,0.85
DXCM,3907,106,1.233613292397012,0.660377358490566
EA,5243,175,17.906189876410373,0.7142857142857143
EBAY,5243,151,1.0617271040438707,0.6158940397350994
EXC,5243,179,3.7649379296779575,0.776536312849162
FAST,5243,172,12.238098895715817,0.7151162790697675
FTNT,2758,74,2.009621956545551,0.6756756756756757
GILD,5222,178,54.79229571770852,0.7696629213483146
GOOG,4081,109,0.7035043126125178,0.6605504587155964
GOOGL,4081,110,0.7127573818510291,0.6545454545454545
HON,5243,170,2.4631592811449443,0.7352941176470589
IDXX,5243,163,12.256486297341155,0.7791411042944786
ILMN,5099,146,1.5318665243417713,0.7191780821917808
INTC,5243,159,0.09561652153737261,0.660377358490566
INTU,5243,171,15.166507540209368,0.7543859649122807
ISRG,5128,150,11.863890541722915,0.7133333333333334
JD,1625,47,1.3748645122556606,0.7659574468085106
KDP,3146,94,2.71330934917939,0.7659574468085106
KHC,1344,42,-0.22961658655921055,0.6666666666666666
KLAC,5243,165,8.536945299240124,0.6909090909090909
LCID,,,,
LRCX,5243,170,28.839200133813517,0.7411764705882353
LULU,3342,96,2.1193606905817806,0.6770833333333334
MAR,5243,150,1.2012483382818937,0.7133333333333334
MCHP,5243,179,14.97385875768859,0.7150837988826816
MDLZ,4879,162,2.666439587943337,0.7283950617283951
MELI,3332,90,2.8513690515839625,0.6777777777777778
MNST,4709,136,26.69120920812102,0.7573529411764706
MRNA,480,13,1.2433483480750607,0.7692307692307693
MRVL,5118,143,-0.32936544053285466,0.6643356643356644
MSFT,5243,166,2.5089957450851834,0.7228915662650602
MTCH,5243,160,6.837776588693526,0.70625
MU,5243,160,1.9239223655101998,0.7
NFLX,4645,124,4.232457634533185,0.7338709677419355
NTES,4889,140,4.110123170734886,0.7
NVDA,5243,144,-0.15206019586577046,0.7152777777777778
NXPI,2579,75,3.9878695926232086,0.76
ODFL,4697,159,84.06505059157524,0.7421383647798742
OKTA,900,25,1.5108212321510501,0.8
ORLY,5243,166,23.71986323510265,0.7831325301204819
PANW,2086,63,1.5914948065270107,0.7142857142857143
PAYX,5243,162,2.1317243497626417,0.7098765432098766
PCAR,5243,171,11.042279978680657,0.7309941520467836
PDD,573,15,1.2219094915409456,0.7333333333333333
PEP,5243,171,3.4897053214291147,0.7309941520467836
PYPL,1344,39,1.270458059451363,0.7948717948717948
QCOM,5243,167,3.062737785022605,0.7544910179640718
REGN,5233,141,-0.431821785635732,0.6453900709219859
ROST,5243,162,14.437680177355052,0.7654320987654321
SBUX,5243,162,9.177178581432868,0.7160493827160493
SGEN,4935,141,2.664539197775158,0.6595744680851063
SIRI,5217,148,-0.9813234151447212,0.6756756756756757
SNPS,5243,166,2.7845317534786242,0.7409638554216867
SPLK,2150,58,0.7328109484948847,0.6896551724137931
SWKS,5243,152,1.3104035861267755,0.7105263157894737
TEAM,1234,38,3.5693419758563656,0.8157894736842105
TMUS,3411,117,5.367195828370571,0.7606837606837606
TSLA,2606,84,12.432581567244187,0.75
TXN,5243,175,14.967650226903672,0.7085714285714285
VRSK,2788,86,4.313981290142159,0.7790697674418605
VRSN,5243,143,-0.5738946856045851,0.6643356643356644
VRTX,5223,159,4.333048141594459,0.6855345911949685
WBA,5243,161,0.9343410026304403,0.6832298136645962
WDAY,2027,65,2.552917678684717,0.8
XEL,5233,168,2.0184276646558703,0.7321428571428571
ZM,390,10,1.0607119950295738,0.6
ZS,664,18,0.45560939801342903,0.8333333333333334
