,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,590,11.21991256860469,0.7372881355932204
ABNB,,,,
ADBE,5243,646,33.42633265694816,0.7414860681114551
ADI,5243,657,15.302655043002027,0.7184170471841704
ADP,5243,637,7.377617362787003,0.750392464678179
ADSK,5243,613,3.503848370770041,0.7112561174551386
AEP,5243,647,0.5932991186834893,0.758887171561051
ALGN,4972,577,3.8602535511792424,0.7227036395147314
AMAT,5243,613,2.8297659192402875,0.7047308319738989
AMD,5233,573,-0.8080280588554659,0.7068062827225131
AMGN,5243,674,17.100899081563927,0.7240356083086054
AMZN,5243,605,4.14267330418524,0.7074380165289256
ANSS,5233,652,91.01344017376965,0.7760736196319018
ASML,5243,629,5.724779761026487,0.7027027027027027
ATVI,5243,632,59.91678470049957,0.7484177215189873
AVGO,2831,349,9.055246557226022,0.7535816618911175
BIDU,3838,460,8.281793439086066,0.717391304347826
BIIB,5222,662,16.99132995660486,0.7371601208459214
BKNG,5243,593,-0.39389710018621127,0.7403035413153457
CDNS,5243,613,2.564805478458237,0.7112561174551386
CHTR,2602,311,2.8433666200880094,0.7556270096463023
CMCSA,5243,655,11.249072622951774,0.7022900763358778
COST,5243,653,15.592963515759985,0.7350689127105666
CPRT,5243,614,4.7097991451651815,0.737785016286645
CRWD,353,36,-0.2667405792422293,0.6666666666666666
CSCO,5243,604,1.9031584577564484,0.7086092715231788
CSX,5243,652,25.325476875430482,0.7469325153374233
CTAS,5243,662,28.06490229457511,0.770392749244713
CTSH,5243,659,40.82679963869818,0.7708649468892261
DDOG,284,31,0.24773927047317218,0.7419354838709677
DLTR,5243,668,25.883051173245114,0.7649700598802395
DOCU,635,70,1.573506022478877,0.7714285714285715
DXCM,3907,462,0.9222846276398441,0.7402597402597403
EA,5243,659,38.98352516458338,0.7177541729893778
EBAY,5243,618,10.20460067559958,0.6957928802588996
EXC,5243,650,1.905169785842786,0.7338461538461538
FAST,5243,612,4.074469021235317,0.7091503267973857
FTNT,2758,322,8.521043440627558,0.7546583850931677
GILD,5222,661,131.9945253759305,0.7413010590015129
GOOG,4081,455,3.223529589829609,0.7230769230769231
GOOGL,4081,456,3.507453542612903,0.7214912280701754
HON,5243,654,2.1288594261878577,0.7507645259938838
IDXX,5243,600,21.33490994933348,0.7416666666666667
ILMN,5099,574,-0.3038619156848483,0.7456445993031359
INTC,5243,648,5.699842101811813,0.7175925925925926
INTU,5243,640,167.8830083917277,0.778125
ISRG,5128,595,3.837982778436743,0.746218487394958
JD,1625,194,1.2422286134344125,0.7010309278350515
KDP,3146,371,2.1965993042798653,0.738544474393531
KHC,1344,160,-0.08450011945717095,0.7375
KLAC,5243,642,14.20814916122712,0.7180685358255452
LCID,32,2,0.011272336562356796,1.0
LRCX,5243,658,17.338538102586373,0.7218844984802432
LULU,3342,378,0.29017691350327596,0.7248677248677249
MAR,5243,646,5.093604060255245,0.7321981424148607
MCHP,5243,650,30.19711078494966,0.7261538461538461
MDLZ,4879,601,2.8546071902315195,0.7387687188019967
MELI,3332,390,8.919254768432694,0.7128205128205128
MNST,4709,576,224.77315290351686,0.7690972222222222
MRNA,480,49,0.3179325379344537,0.7346938775510204
MRVL,5118,622,0.4442654494899497,0.6961414790996785
MSFT,5243,660,13.681182947992037,0.7681818181818182
MTCH,5243,618,11.15905297875183,0.7281553398058253
MU,5243,586,-0.7057903859639483,0.7013651877133106
NFLX,4645,533,6.945882887151775,0.7129455909943715
NTES,4889,537,0.7115306939505416,0.6834264432029795
NVDA,5243,590,1.2522639401863749,0.7084745762711865
NXPI,2579,329,7.705127721990535,0.756838905775076
ODFL,4697,566,103.17456089315304,0.7491166077738516
OKTA,900,102,3.4859203947667208,0.7745098039215687
ORLY,5243,653,29.470536098961126,0.7457886676875957
PANW,2086,225,-0.17878041383873997,0.7288888888888889
PAYX,5243,662,11.057689422130128,0.7598187311178247
PCAR,5243,651,25.977213587564655,0.7357910906298003
PDD,573,62,1.51173344637853,0.6935483870967742
PEP,5243,659,4.873322694489883,0.7481031866464339
PYPL,1344,163,3.1694403824166884,0.754601226993865
QCOM,5243,658,11.098294889493902,0.7142857142857143
REGN,5233,619,0.5005400235984465,0.7059773828756059
ROST,5243,682,69.12974489425297,0.7756598240469208
SBUX,5243,655,62.63743931420493,0.7648854961832061
SGEN,4935,575,8.78628953010254,0.6904347826086956
SIRI,5217,593,-0.9931906992590273,0.6913996627318718
SNPS,5243,619,11.387291211292599,0.7447495961227787
SPLK,2150,242,1.364448441865093,0.731404958677686
SWKS,5243,624,7.146026733621963,0.7211538461538461
TEAM,1234,135,2.9352285956482267,0.762962962962963
TMUS,3411,409,4.532411408128158,0.7310513447432763
TSLA,2606,291,6.707511343339165,0.7353951890034365
TXN,5243,655,15.579723186398823,0.7312977099236642
VRSK,2788,343,3.860432763904319,0.7900874635568513
VRSN,5243,627,-0.2098133035222463,0.7129186602870813
VRTX,5223,635,10.050683332822773,0.6913385826771653
WBA,5243,641,3.1854458879757224,0.7394695787831513
WDAY,2027,236,2.184329540358632,0.7457627118644068
XEL,5233,651,2.74352609928132,0.7603686635944701
ZM,390,39,0.35081216089241973,0.6923076923076923
ZS,664,76,0.6915439631219017,0.6973684210526315
