,backtest_length,diff_list_length,total_returns,win_rate
DFS,3372,6,-0.20496202481778,0.6666666666666666
DG,2761,9,4.090476626676168,1.0
DGX,5243,17,1.0419675102249342,0.7058823529411765
DHI,5243,14,0.2674470160755662,0.5
DHR,5243,15,3.7170578878308294,0.8666666666666667
DIS,5243,17,1.4816843620030704,0.7058823529411765
DISH,5243,21,0.13126243744892185,0.6666666666666666
DLR,4031,16,1.9257628215487526,0.8125
DLTR,5243,18,0.7418773867970074,0.6666666666666666
DOV,5243,13,1.66137246611556,0.8461538461538461
DOW,,,,
DPZ,4108,10,-0.18219313040972118,0.8
DRI,5243,18,12.526630179239753,0.7777777777777778
DTE,5243,16,2.2508096024305497,0.875
DUK,5243,21,1.052606634840192,0.7142857142857143
DVA,5243,19,7.9958664088777915,0.8421052631578947
DVN,5243,18,0.1540328836127855,0.6111111111111112
DXC,5243,22,-0.3012055985366133,0.6363636363636364
DXCM,3907,13,0.11525960045252065,0.5384615384615384
EA,5243,13,0.3941724164772446,0.6153846153846154
EBAY,5243,14,2.631691514631931,0.7857142857142857
ECL,5243,13,2.067364783101265,0.8461538461538461
ED,5243,18,2.070770066732966,0.8333333333333334
EFX,5243,18,14.18436936934832,0.8888888888888888
EIX,5243,18,3.5637462606350647,0.7777777777777778
EL,5243,15,0.28106234196382573,0.7333333333333333
EMN,5243,21,3.0121849335063033,0.7619047619047619
EMR,5243,8,0.8758856910374295,0.75
ENPH,2163,10,1.3806417978741732,0.8
EOG,5243,16,-0.022785022686081822,0.6875
EPAM,2199,7,1.4303837328113578,1.0
EQIX,5089,19,-0.7411025329202933,0.631578947368421
EQR,5233,16,1.1045730998406187,0.8125
ES,5243,17,0.17779816261265288,0.5882352941176471
ESS,5243,19,0.8824747658819594,0.6842105263157895
ETN,5233,17,2.3833860309756747,0.7647058823529411
ETR,5243,16,2.2585903622308887,0.6875
ETSY,1399,6,2.647077936959832,1.0
EVRG,5243,20,1.316504141957807,0.85
EW,5185,23,26.71925340930841,0.9130434782608695
EXC,5243,17,0.11515080401356681,0.5294117647058824
EXPD,5243,20,4.236488439528863,0.7
EXPE,3849,17,-0.13449291047339293,0.8823529411764706
EXR,4084,13,1.3883500891399871,0.5384615384615384
F,5243,23,-0.725378171363731,0.4782608695652174
FANG,2027,8,-0.4296919649624607,0.375
FAST,5243,27,19.72377378731265,0.8148148148148148
FCX,5243,20,0.15065026671435916,0.6
FDS,5243,15,1.3151042756445488,0.8
FDX,5243,13,0.793903835008363,0.46153846153846156
FE,5243,20,1.8503458560495634,0.75
FFIV,5243,19,0.24820496769902506,0.5789473684210527
FIS,4874,13,2.5121875157409357,0.8461538461538461
FITB,5243,14,-0.7987545478141416,0.6428571428571429
FLT,2488,3,0.360105653953539,1.0
FMC,5243,15,-0.1189004078523299,0.6666666666666666
