,backtest_length,diff_list_length,total_returns,win_rate
,,,,
A,5243,8,0.10664813384534162,0.5
AAL,3802,10,-0.5836790655343608,0.8
AAP,4765,10,3.2072070630366905,0.8
AAPL,5243,7,0.1830846703338332,0.7142857142857143
ABBV,1974,2,-0.038619866697138405,0.5
ABC,5243,8,1.7886094152796217,0.875
ABMD,5223,12,1.3522721981201615,0.6666666666666666
ABT,5243,11,2.4390509160213463,1.0
ACN,4854,6,4.1254528454277395,1.0
ADBE,5243,6,1.0363093542207729,0.8333333333333334
ADI,5243,7,2.6051415064699497,1.0
ADM,5243,13,3.3152386614836344,0.8461538461538461
ADP,5243,7,1.2838153290452776,0.7142857142857143
ADSK,5243,13,4.706701402862491,0.9230769230769231
AEE,5243,7,0.5946547444601709,0.7142857142857143
AEP,5243,7,1.9893388654163182,0.7142857142857143
AES,5243,7,-0.8674916612575303,0.5714285714285714
AFL,5243,9,1.5161468715215074,0.8888888888888888
AIG,5243,12,-0.9395797940483049,0.6666666666666666
AIZ,4216,6,2.9000024000214806,1.0
AJG,5243,5,0.3930558067400712,0.6
AKAM,5243,9,-0.8782977881259522,0.6666666666666666
ALB,5243,10,2.942425111852353,0.6
ALGN,4972,9,0.34682808358101014,0.7777777777777778
ALK,5243,10,1.529521743995111,0.7
ALL,5243,8,0.4935552558490129,0.75
ALLE,1752,4,0.9714292412461322,1.0
AMAT,5243,7,0.6307293214243425,0.7142857142857143
AMCR,,,,
AMD,5233,12,-0.3938559366684641,0.5
AME,5243,6,0.8122070068926828,0.8333333333333334
AMGN,5243,7,2.021165655147987,0.8571428571428571
AMP,3810,4,8.135505256360066,1.0
AMT,5243,3,-0.8352912957612595,0.6666666666666666
AMZN,5243,6,-0.03819468391804549,0.6666666666666666
ANET,1615,3,1.3121773376248889,1.0
ANSS,5233,4,2.450184736404499,0.75
AON,5243,10,1.903286439757018,0.9
AOS,5243,9,2.543858176417015,1.0
APA,5243,9,0.33207912872799206,0.5555555555555556
APD,5243,10,4.084642663188436,0.9
APH,5243,9,3.7662722650154437,0.8888888888888888
APTV,2254,4,1.3953053431108757,1.0
ARE,5243,7,0.2838309696900861,0.8571428571428571
ATO,5243,10,3.5731658577959817,1.0
ATVI,5243,8,6.083864610109816,1.0
AVB,5243,8,0.09867440353946318,0.625
AVGO,2831,5,2.104060709881532,1.0
AVY,5243,9,1.6316240379518048,0.7777777777777778
AWK,3156,3,0.5687928302725428,1.0
AXP,5243,7,0.9594119808009887,0.5714285714285714
AZO,5243,6,1.0630293076541852,0.8333333333333334
BA,5243,9,-0.41443980880675724,0.6666666666666666
BAC,5243,9,-0.34826778731734703,0.6666666666666666
BAX,5243,8,1.82347626907932,1.0
BBWI,5243,11,2.248897170290566,0.6363636363636364
BBY,5243,10,0.29348696696764254,0.8
BDX,5243,4,0.45178413135246326,1.0
BEN,5243,6,-0.19773681315454036,0.5
BF-B,5243,9,1.9475989573706276,0.8888888888888888
BIIB,5222,8,2.0507199431040957,0.875
