,backtest_length,diff_list_length,total_returns,win_rate
,,,,
A,5243,15,0.5225022716122374,0.7333333333333333
AAL,3802,21,1.2599236785111436,0.5714285714285714
AAP,4765,16,3.712571041071676,0.75
AAPL,5243,18,3.4804892690825118,0.8333333333333334
ABBV,1974,4,0.19950654696920467,0.75
ABC,5243,19,2.207865101891927,0.7368421052631579
ABMD,5223,31,23.171119162584834,0.8387096774193549
ABT,5243,23,5.891926654649026,0.782608695652174
ACN,4854,15,2.753096746872707,0.9333333333333333
ADBE,5243,12,1.3108658501231512,0.75
ADI,5243,17,2.3431040973585544,0.5294117647058824
ADM,5243,17,0.7156220511437231,0.7058823529411765
ADP,5243,14,1.2481162782682316,0.7857142857142857
ADSK,5243,21,0.2855927386570168,0.7619047619047619
AEE,5243,13,0.24045800404356885,0.8461538461538461
AEP,5243,15,1.089506035089693,0.8
AES,5243,14,-0.8387186396445329,0.6428571428571429
AFL,5243,17,1.8225405766892577,0.7647058823529411
AIG,5243,18,-0.9730623791783789,0.6111111111111112
AIZ,4216,12,2.5323027437943124,0.8333333333333334
AJG,5243,12,-0.20126266527135298,0.5833333333333334
AKAM,5243,16,-0.9243795615496612,0.6875
ALB,5243,21,2.953406312073097,0.6666666666666666
ALGN,4972,18,1.125166121491068,0.7222222222222222
ALK,5243,24,2.6704980100244438,0.6666666666666666
ALL,5243,15,0.09081505206913663,0.6666666666666666
ALLE,1752,6,1.2488523327538408,1.0
AMAT,5243,13,-0.5835037526822495,0.38461538461538464
AMCR,,,,
AMD,5233,20,-0.5545077806347376,0.6
AME,5243,13,1.5425725241189996,0.8461538461538461
AMGN,5243,15,1.1230076082204128,0.7333333333333333
AMP,3810,9,1.381335164861549,0.7777777777777778
AMT,5243,15,-0.33660147512748106,0.6666666666666666
AMZN,5243,16,3.5740939779695626,0.875
ANET,1615,5,1.8560213154308791,1.0
ANSS,5233,15,10.329572471384157,0.9333333333333333
AON,5243,21,4.035464002296812,0.9047619047619048
AOS,5243,19,5.668357065602164,0.8421052631578947
APA,5243,16,-0.6870730193489789,0.5625
APD,5243,15,1.662685457902092,0.9333333333333333
APH,5243,18,2.197029368172037,0.7222222222222222
APTV,2254,5,0.9330262079806649,0.8
ARE,5243,17,2.9240277402747408,0.9411764705882353
ATO,5243,16,2.045309418599792,0.875
ATVI,5243,18,3.0620006622542046,0.7222222222222222
AVB,5243,15,0.08330175824411493,0.7333333333333333
AVGO,2831,9,2.492910613931064,0.8888888888888888
AVY,5243,18,0.23970371515618988,0.6111111111111112
AWK,3156,10,1.4727133322685533,0.9
AXP,5243,19,4.909685810586608,0.8421052631578947
AZO,5243,18,2.684982557085104,0.7777777777777778
BA,5243,18,-0.03720816882828623,0.6666666666666666
BAC,5243,17,-0.10811137808141823,0.6470588235294118
BAX,5243,15,2.0512225971070084,0.8
BBWI,5243,15,-0.1650171741204236,0.6666666666666666
BBY,5243,15,0.27154587251632356,0.6666666666666666
BDX,5243,13,2.0457937116140807,0.9230769230769231
BEN,5243,15,1.1617036976230644,0.6666666666666666
BF-B,5243,20,3.4998422669833227,0.85
BIIB,5222,15,3.044444728093641,0.8666666666666667
BIO,5233,23,5.183605786762745,0.782608695652174
BK,5243,13,1.015544010398148,0.7692307692307693
BKNG,5243,21,-0.502292037094244,0.7619047619047619
BKR,5233,19,-0.3158935602349223,0.5263157894736842
BLK,5243,14,2.1999726512576934,0.7142857142857143
BMY,5243,19,0.3410938730803223,0.631578947368421
BR,3430,14,1.4417469927131394,0.8571428571428571
BRK-B,5243,18,2.713463209378432,0.8888888888888888
BRO,5233,16,0.8976679155986067,0.75
BSX,5243,14,-0.45047940550860377,0.5
BWA,5243,20,3.997925632245252,0.8
BXP,5243,17,0.304964788338976,0.8235294117647058
C,5243,21,-0.7309192059601488,0.7619047619047619
CAG,5243,19,2.3257771408178307,0.8421052631578947
CAH,5243,16,0.24896161466088357,0.6875
CARR,,,,
CAT,5243,14,-0.28277852673470927,0.5714285714285714
CB,5233,18,7.028178898583151,0.8888888888888888
CBOE,2616,8,0.8329360308342576,1.0
CBRE,4129,10,0.9278979769065592,0.8
CCI,5233,23,1.9448548709173348,0.8695652173913043
CCL,5243,22,1.1298303014229392,0.7727272727272727
CDAY,636,1,0.210395209984652,1.0
CDNS,5243,18,0.39127090506301776,0.7777777777777778
CDW,1852,4,0.44659108430681427,0.75
CE,3974,14,1.8812071079351766,0.8571428571428571
CF,3834,10,-0.30677711457095025,0.4
CFG,1539,4,0.15548160739021236,0.5
CHD,5233,19,6.210544289895373,0.9473684210526315
CHRW,5243,17,6.069922858550007,0.8823529411764706
CHTR,2602,9,1.8064274834565042,1.0
CI,5243,21,0.4850534929965108,0.7619047619047619
CINF,5243,20,2.0629311264857106,0.9
CL,5243,14,1.8448443845759104,0.8571428571428571
CLX,5243,15,2.199873017202303,0.9333333333333333
CMA,5243,14,0.28071705555311055,0.7142857142857143
CMCSA,5243,16,0.7102709671600538,0.75
CME,4508,16,2.314162682283678,0.875
CMG,3719,15,1.8027903907509102,0.7333333333333333
CMI,5243,20,9.926940572458683,0.75
CMS,5243,14,0.14558388308808418,0.7857142857142857
CNC,4737,17,3.5308443831960226,0.8235294117647058
CNP,5243,18,-0.08118925396528852,0.6666666666666666
COF,5243,18,2.4135290205913704,0.8333333333333334
COO,5243,21,2.929450986309749,0.7142857142857143
COP,5243,14,-0.07441354876492859,0.7142857142857143
COST,5243,16,7.205002810223135,0.9375
CPB,5243,21,0.8267039014374016,0.7619047619047619
CPRT,5243,23,10.622437396947191,0.782608695652174
CRL,5113,18,1.4358134698923444,0.7222222222222222
CRM,4121,18,15.56873594304619,0.9444444444444444
CSCO,5243,20,2.046218719376882,0.75
CSX,5243,17,4.094343870449682,0.8235294117647058
CTAS,5243,14,1.403560155386947,0.7142857142857143
CTLT,1577,6,0.37634339778411013,0.8333333333333334
CTRA,5243,16,1.4004362143469946,0.75
CTSH,5243,17,17.213369980155072,0.8823529411764706
CTVA,,,,
CVS,5243,15,2.6455582754616382,0.6666666666666666
CVX,5243,13,0.44617815153146956,0.7692307692307693
CZR,1521,7,0.9862384212564174,0.7142857142857143
D,5243,19,1.763126065500209,0.8947368421052632
DAL,3401,12,-0.09049854061717028,0.6666666666666666
DD,5243,19,0.9682505673366005,0.7894736842105263
DE,5243,13,1.0623407276696377,0.7692307692307693
DFS,3372,6,-0.20496202481778,0.6666666666666666
DG,2761,10,4.349117133182165,1.0
DGX,5243,17,1.0644879134001854,0.7647058823529411
DHI,5243,14,0.2674470160755662,0.5
DHR,5243,15,3.615597506381102,0.8666666666666667
DIS,5243,17,1.1761387431525532,0.7058823529411765
DISH,5243,22,0.40611139842433575,0.6818181818181818
DLR,4031,16,1.9257628215487526,0.8125
DLTR,5243,18,1.5127496600835422,0.6666666666666666
DOV,5243,13,1.66137246611556,0.8461538461538461
DOW,,,,
DPZ,4108,10,-0.22413196823680936,0.8
DRI,5243,18,12.81536605573396,0.7777777777777778
DTE,5243,17,2.5307610963923466,0.8823529411764706
DUK,5243,22,1.1419929679102334,0.7272727272727273
DVA,5243,20,14.11015464146214,0.85
DVN,5243,18,0.1806672718599725,0.6111111111111112
DXC,5243,22,-0.13691125887078665,0.6818181818181818
DXCM,3907,13,0.12499239531844948,0.5384615384615384
EA,5243,13,0.4940254149718436,0.6923076923076923
EBAY,5243,14,2.631691514631931,0.7857142857142857
ECL,5243,11,2.0660754360638185,0.9090909090909091
ED,5243,19,2.5772134248702483,0.8421052631578947
EFX,5243,18,14.703194494604194,0.8888888888888888
EIX,5243,18,3.5637462606350647,0.7777777777777778
EL,5243,15,0.30987056626330267,0.7333333333333333
EMN,5243,20,2.550727363886035,0.7
EMR,5243,8,0.8758856910374295,0.75
ENPH,2163,10,0.7030745925073717,0.7
EOG,5243,16,-0.022785022686081822,0.6875
EPAM,2199,7,1.5158382450002055,1.0
EQIX,5089,18,-0.7779625729264348,0.6111111111111112
EQR,5233,16,1.1045730998406187,0.8125
ES,5243,18,0.4108904146215159,0.6666666666666666
ESS,5243,18,0.8496085039954726,0.6666666666666666
ETN,5233,17,2.3833860309756747,0.7647058823529411
ETR,5243,16,2.0173946323502228,0.6875
ETSY,1399,7,3.949534592944785,1.0
EVRG,5243,19,0.7265868971958419,0.8421052631578947
EW,5185,22,23.51775988777384,0.9090909090909091
EXC,5243,17,0.0937109543293044,0.47058823529411764
EXPD,5243,20,4.074124510958313,0.7
EXPE,3849,17,-0.1024794694619464,0.8823529411764706
EXR,4084,13,1.3883500891399871,0.5384615384615384
F,5243,22,-0.767480824879683,0.45454545454545453
FANG,2027,8,-0.33410760410555035,0.375
FAST,5243,27,19.783126155109247,0.8148148148148148
FCX,5243,19,0.09086291669938085,0.5789473684210527
FDS,5243,15,1.3399652219089884,0.8
FDX,5243,13,1.0706168007964805,0.46153846153846156
FE,5243,20,1.9099608751808494,0.75
FFIV,5243,19,0.03676112477807654,0.5263157894736842
FIS,4874,13,2.466697205610902,0.8461538461538461
FITB,5243,14,-0.79678358162116,0.6428571428571429
FLT,2488,4,0.31109469861537337,0.75
FMC,5243,15,-0.1189004078523299,0.6666666666666666
FOX,416,1,-0.08308704838276247,0.0
FOXA,417,2,-0.12179778303294221,0.0
FRT,5243,13,0.8818013582521684,0.7692307692307693
FTNT,2758,8,0.8183552170665462,0.875
FTV,1092,4,-0.08439147633135878,0.5
GD,5243,10,2.797412113257256,0.8
GE,5243,20,-0.8308846387247628,0.7
GILD,5222,16,7.698961081174496,0.9375
GIS,5243,18,1.7593986602215912,0.8888888888888888
GL,5243,10,0.8223788590255465,0.9
GLW,5243,15,-0.8752366373876407,0.7333333333333333
GM,2506,9,0.1772392612876261,0.5555555555555556
GNRC,2701,8,0.6693530719944911,0.75
GOOG,4081,13,1.2556652083599316,0.8461538461538461
GOOGL,4081,12,1.080558289592665,0.8333333333333334
GPC,5243,14,1.4053560522616497,0.6428571428571429
GPN,4982,15,5.536145599250968,0.6666666666666666
GRMN,5006,23,-0.006726073030067142,0.7391304347826086
GS,5243,15,0.09319918906894349,0.7333333333333333
GWW,5243,24,5.733375176316672,0.8333333333333334
HAL,5243,18,-0.37826368844476854,0.6111111111111112
HAS,5243,20,1.7323107667138418,0.7
HBAN,5243,17,-0.4424435832060644,0.7058823529411765
HCA,2430,11,3.1570474286904266,0.7272727272727273
HD,5243,17,2.5760394947614307,0.8235294117647058
HES,5243,15,-0.7554306693548205,0.4666666666666667
HIG,5243,16,-0.6247805119632703,0.75
HII,2422,8,1.564993664767811,0.875
HLT,1735,4,0.49293314370072217,0.75
HOLX,5243,25,12.634248911549047,0.84
HON,5243,18,1.9085956446587033,0.7777777777777778
HPE,1270,5,0.7993562108756909,0.6
HPQ,5243,12,-0.3570977580751347,0.5833333333333334
HRL,5243,18,1.6993162757624922,0.7777777777777778
HSIC,5243,14,1.4456233322085226,0.9285714285714286
HST,5243,20,-0.06981009326742753,0.7
HSY,5243,20,2.3402791398053884,0.7
HUM,5243,21,17.252967284524736,0.8571428571428571
HWM,1008,3,0.12179889438468311,0.3333333333333333
IBM,5243,15,0.634198126144845,0.6666666666666666
ICE,3766,12,2.499544395272219,0.9166666666666666
IDXX,5243,22,15.536969948930397,0.8636363636363636
IEX,5243,19,3.1368771514900193,0.7368421052631579
IFF,5243,14,0.16344715767765325,0.7857142857142857
ILMN,5099,26,4.037294164518967,0.7307692307692307
INCY,5243,29,-0.16865582027576864,0.6896551724137931
INTC,5243,20,-0.69367221992212,0.55
INTU,5243,18,12.003701872153552,1.0
IP,5243,20,1.9484389352511764,0.8
IPG,5243,20,-0.5912641659291888,0.55
IPGP,3496,17,5.074013700512255,0.8235294117647058
IQV,1886,7,1.6577841201524064,0.8571428571428571
IR,876,4,0.7102824642835134,0.75
IRM,5243,25,0.9744838151979074,0.68
ISRG,5128,22,21.828056835085583,0.8181818181818182
IT,5243,22,2.2629115273825677,0.7727272727272727
ITW,5243,14,3.6893281783414147,0.7857142857142857
IVZ,5243,17,-0.5976909049249206,0.6470588235294118
J,5243,16,4.454946794350283,0.8125
JBHT,5243,18,17.062790693283674,0.8888888888888888
JCI,5243,14,-0.39989373309999776,0.6428571428571429
JKHY,5243,14,0.6262205268592588,0.7857142857142857
JNJ,5243,20,1.2682953503550911,0.75
JNPR,5243,17,-0.6363480474795496,0.47058823529411764
JPM,5243,16,1.7658049246084178,0.625
K,5243,16,1.8088538197467043,0.6875
KEY,5243,11,-0.4867157644820797,0.8181818181818182
KEYS,1521,2,-0.15078611027919153,0.5
KHC,1344,5,-0.3238759102468262,0.4
KIM,5243,14,-0.3962028534322749,0.7857142857142857
KLAC,5243,16,-0.13674957094353368,0.5625
KMB,5243,16,1.2069713328477354,0.75
KMI,2448,8,-0.486794198105104,0.375
KMX,5243,22,14.75040083361783,0.7272727272727273
KO,5243,13,0.945681591052729,0.8461538461538461
KR,5243,14,0.9475292196226223,0.7857142857142857
L,5233,15,0.4550071577167427,0.7333333333333333
LDOS,3536,12,0.6436320508154796,0.6666666666666666
LEN,5243,17,1.8627386162260953,0.8235294117647058
LH,5233,19,1.1591263809226597,0.6842105263157895
LHX,5243,15,0.9454821206865108,0.8
LIN,5243,12,4.233630905267157,0.8333333333333334
LKQ,4300,18,7.8305786929712164,0.8333333333333334
