,backtest_length,diff_list_length,total_returns,win_rate
,,,,
A,5243,139,1.2675245610251422,0.7697841726618705
AAL,3802,100,-0.7911001526624225,0.7
AAP,4765,124,2.053167981698938,0.782258064516129
AAPL,5243,136,1.0013454233599337,0.7720588235294118
ABBV,1974,47,0.2419557987760671,0.6595744680851063
ABC,5243,128,2.3108514945845227,0.703125
ABMD,5223,142,1.3993548158719082,0.7183098591549296
ABT,5243,150,3.8147740831573635,0.7733333333333333
ACN,4854,132,6.89127254334965,0.75
ADBE,5243,152,26.765246762484566,0.7960526315789473
ADI,5243,153,10.875783586804259,0.7189542483660131
ADM,5243,146,2.1307442222752266,0.7876712328767124
ADP,5243,150,2.8282175423439653,0.74
ADSK,5243,146,4.604665114168195,0.7876712328767124
AEE,5243,155,1.103183604721183,0.7419354838709677
AEP,5243,131,0.21132509468746674,0.7251908396946565
AES,5243,146,-0.4771651493055582,0.7123287671232876
AFL,5243,167,4.838589065316757,0.8143712574850299
AIG,5243,144,-0.9798362962048606,0.6805555555555556
AIZ,4216,117,1.2384335651967358,0.8034188034188035
AJG,5243,145,3.339338696586567,0.7586206896551724
AKAM,5243,133,-0.8757835399032563,0.6766917293233082
ALB,5243,150,6.4813874569533025,0.72
ALGN,4972,126,4.922589018860484,0.7777777777777778
ALK,5243,142,1.4675716415586444,0.704225352112676
ALL,5243,143,0.32298936207735746,0.7622377622377622
ALLE,1752,51,0.6891825883360102,0.803921568627451
AMAT,5243,142,3.0901802007430597,0.704225352112676
AMCR,385,12,0.09675810607619281,0.8333333333333334
AMD,5233,131,-0.7292249341577938,0.6564885496183206
AME,5243,141,8.45716283558492,0.7730496453900709
AMGN,5243,144,2.274135249958435,0.7083333333333334
AMP,3810,105,0.8440581355225146,0.7714285714285715
AMT,5243,153,0.542920631135527,0.7908496732026143
AMZN,5243,131,4.8209933922628165,0.7022900763358778
ANET,1615,41,1.3056681498274183,0.6829268292682927
ANSS,5233,154,34.31132680163514,0.8116883116883117
AON,5243,152,4.337359185991363,0.8223684210526315
AOS,5243,155,11.16598515160613,0.7935483870967742
APA,5243,143,0.02490092049142276,0.7132867132867133
APD,5243,168,13.651710129842101,0.8392857142857143
APH,5243,131,1.507569694666171,0.7480916030534351
APTV,2254,63,2.039265163859039,0.7936507936507936
ARE,5243,173,5.789596938050948,0.7861271676300579
ATO,5243,173,9.240324013761535,0.791907514450867
ATVI,5243,148,9.322942896832004,0.7702702702702703
AVB,5243,151,7.152899156865203,0.7615894039735099
AVGO,2831,76,4.249756403431995,0.8157894736842105
AVY,5243,152,1.7255893040711665,0.7368421052631579
AWK,3156,96,4.718677278423073,0.84375
AXP,5243,153,7.547690604418011,0.7777777777777778
AZO,5243,140,6.560538705839782,0.7714285714285715
BA,5243,128,-0.2494860746839192,0.703125
BAC,5243,143,-0.19358929180370701,0.7412587412587412
BAX,5243,145,3.287018962644781,0.7379310344827587
BBWI,5243,129,-0.7247778774925827,0.6744186046511628
BBY,5243,144,2.6795975802241636,0.75
BDX,5243,150,3.541188842118538,0.78
BEN,5243,151,1.2611962423974172,0.6887417218543046
BF-B,5243,140,3.429257515287364,0.7214285714285714
BIIB,5222,146,7.538390153589048,0.7602739726027398
BIO,5233,135,9.826578616292597,0.7407407407407407
BK,5243,156,6.8913914078632965,0.7628205128205128
BKNG,5243,136,-0.6406792829613734,0.7426470588235294
BKR,5233,156,1.1049531368067194,0.7051282051282052
BLK,5243,158,16.30768545672594,0.7784810126582279
BMY,5243,146,1.088651891993805,0.7054794520547946
BR,3430,90,1.0820030784099963,0.7666666666666667
BRK-B,5243,156,3.7323681150040664,0.7756410256410257
BRO,5233,149,5.74388384605205,0.7516778523489933
BSX,5243,150,2.7289052149300823,0.74
BWA,5243,151,4.626843365980693,0.7682119205298014
BXP,5243,143,3.3044051076556387,0.7272727272727273
C,5243,138,-0.8974878712678964,0.6884057971014492
CAG,5243,148,1.006264571923852,0.7297297297297297
CAH,5243,141,3.040888993564517,0.7163120567375887
CARR,159,3,0.17244112090598954,1.0
CAT,5243,137,1.0702107928664535,0.7007299270072993
CB,5233,171,20.003335778750017,0.8011695906432749
CBOE,2616,70,0.8537634700674068,0.7714285714285715
CBRE,4129,108,3.4998342414190424,0.7592592592592593
CCI,5233,155,2.6984087665029515,0.7870967741935484
CCL,5243,143,-0.056106955904822564,0.7272727272727273
CDAY,636,20,0.708512620597417,0.8
CDNS,5243,135,2.7816277281360007,0.7555555555555555
CDW,1852,55,3.1844960270066944,0.9090909090909091
CE,3974,94,-0.25224332983879116,0.7021276595744681
CF,3834,108,3.67110261484586,0.7870370370370371
CFG,1539,43,-0.08804075141382427,0.7209302325581395
CHD,5233,152,19.832384586005016,0.7960526315789473
CHRW,5243,155,10.931064230173977,0.7483870967741936
CHTR,2602,66,4.467339667214507,0.8181818181818182
CI,5243,138,1.596292229063617,0.7536231884057971
CINF,5243,153,2.2277711752091225,0.7581699346405228
CL,5243,163,7.922653441407239,0.7791411042944786
CLX,5243,135,2.9404934075884124,0.7111111111111111
CMA,5243,148,1.588854448203137,0.7094594594594594
CMCSA,5243,151,5.052587379448856,0.7218543046357616
CME,4508,137,11.51503995540681,0.781021897810219
CMG,3719,94,2.2126988826433083,0.7553191489361702
CMI,5243,133,2.599192031977666,0.7142857142857143
CMS,5243,132,-0.4822248492008913,0.7575757575757576
CNC,4737,127,6.870528025981869,0.7559055118110236
CNP,5243,141,-0.42597725425852834,0.7092198581560284
COF,5243,141,0.6264377750059268,0.7021276595744681
COO,5243,132,1.6238973193460586,0.7878787878787878
COP,5243,144,0.23513296701128664,0.7013888888888888
COST,5243,157,9.722773900946873,0.7898089171974523
CPB,5243,153,3.765548096328161,0.7843137254901961
CPRT,5243,148,6.172956930311504,0.777027027027027
CRL,5113,136,2.8756792724665092,0.7941176470588235
CRM,4121,112,19.01528585343497,0.8035714285714286
CSCO,5243,153,1.6164248507259282,0.7254901960784313
CSX,5243,137,4.231122850045344,0.7591240875912408
CTAS,5243,144,4.203207033899467,0.7430555555555556
CTLT,1577,35,0.285658401333394,0.6571428571428571
CTRA,5243,166,35.08203518351482,0.7289156626506024
CTSH,5243,144,10.345965677530312,0.7777777777777778
CTVA,365,10,0.24942144645296177,0.8
CVS,5243,132,1.4263926707388623,0.7348484848484849
CVX,5243,148,1.152723963169605,0.7094594594594594
CZR,1521,41,0.5860389673582902,0.8536585365853658
D,5243,155,2.4209567658526274,0.7677419354838709
DAL,3401,95,4.803174110745128,0.7052631578947368
DD,5243,154,1.4330373635036242,0.7597402597402597
DE,5243,146,6.09866910604217,0.7465753424657534
DFS,3372,91,1.4224754247846674,0.7692307692307693
DG,2761,75,2.0427044136819115,0.7733333333333333
DGX,5243,146,4.761928893074977,0.7397260273972602
DHI,5243,154,6.54753109577282,0.8051948051948052
DHR,5243,164,21.39228099777979,0.8597560975609756
DIS,5243,143,2.3565494784547236,0.7202797202797203
DISH,5243,131,-0.6550932732145022,0.7022900763358778
DLR,4031,116,7.864103483985732,0.7931034482758621
DLTR,5243,141,4.327123590313753,0.7304964539007093
DOV,5243,136,0.13631551426852867,0.7058823529411765
DOW,411,11,-0.028506652828077086,0.8181818181818182
DPZ,4108,108,2.9286744418900943,0.8148148148148148
DRI,5243,150,6.295765523239648,0.7466666666666667
DTE,5243,153,3.413758532869321,0.7843137254901961
DUK,5243,142,0.7661374460786996,0.7323943661971831
DVA,5243,136,17.87198816693887,0.7794117647058824
DVN,5243,149,-0.26422069284442556,0.697986577181208
DXC,5243,129,-0.7024452295944185,0.7054263565891473
