,backtest_length,diff_list_length,total_returns,win_rate
,,,,
A,5243,15,0.5858306036650164,0.7333333333333333
AAL,3802,21,1.2599236785111436,0.5714285714285714
AAP,4765,16,3.712571041071676,0.75
AAPL,5243,18,3.4804892690825118,0.8333333333333334
ABBV,1974,4,0.19950654696920467,0.75
ABC,5243,19,2.207865101891927,0.7368421052631579
ABMD,5223,31,24.140524123149742,0.8387096774193549
ABT,5243,23,5.891926654649026,0.782608695652174
ACN,4854,16,3.026785822555798,0.9375
ADBE,5243,12,1.3108658501231512,0.75
ADI,5243,17,2.3431040973585544,0.5294117647058824
ADM,5243,17,0.7156220511437231,0.7058823529411765
ADP,5243,14,1.2481162782682316,0.7857142857142857
ADSK,5243,21,0.2855927386570168,0.7619047619047619
AEE,5243,12,0.35546378990285216,0.8333333333333334
AEP,5243,15,1.719803104660091,0.8666666666666667
AES,5243,14,-0.8387186396445329,0.6428571428571429
AFL,5243,17,1.784575455385564,0.7647058823529411
AIG,5243,19,-0.9707269819602738,0.631578947368421
AIZ,4216,12,2.5323027437943124,0.8333333333333334
AJG,5243,13,-0.1030086174201792,0.5384615384615384
AKAM,5243,16,-0.9243795615496612,0.6875
ALB,5243,21,3.2626720120471258,0.6666666666666666
ALGN,4972,17,0.16974182142101532,0.7058823529411765
ALK,5243,24,2.6704980100244438,0.6666666666666666
ALL,5243,15,0.09081505206913663,0.6666666666666666
ALLE,1752,5,0.8803125798578476,1.0
AMAT,5243,13,-0.5835037526822495,0.38461538461538464
AMCR,,,,
AMD,5233,20,-0.5545077806347376,0.6
AME,5243,13,1.5425725241189996,0.8461538461538461
AMGN,5243,15,1.1230076082204128,0.7333333333333333
AMP,3810,9,1.381335164861549,0.7777777777777778
AMT,5243,15,-0.33660147512748106,0.6666666666666666
AMZN,5243,15,2.7388002255523625,0.8666666666666667
ANET,1615,5,1.8560213154308791,1.0
ANSS,5233,15,10.329572471384157,0.9333333333333333
AON,5243,22,4.501379081660131,0.9090909090909091
AOS,5243,19,5.840277126298254,0.8421052631578947
APA,5243,16,-0.6564757089852922,0.5625
APD,5243,15,1.662685457902092,0.9333333333333333
APH,5243,18,2.197029368172037,0.7222222222222222
APTV,2254,5,0.9330262079806649,0.8
ARE,5243,17,2.9240277402747408,0.9411764705882353
ATO,5243,16,2.0673414380207187,0.875
ATVI,5243,18,3.0620006622542046,0.7222222222222222
AVB,5243,15,0.08330175824411493,0.7333333333333333
AVGO,2831,9,2.492910613931064,0.8888888888888888
AVY,5243,18,0.41646288306388374,0.6666666666666666
AWK,3156,10,1.4727133322685533,0.9
AXP,5243,19,4.909685810586608,0.8421052631578947
AZO,5243,18,2.684982557085104,0.7777777777777778
BA,5243,18,-0.024360249810958513,0.6666666666666666
BAC,5243,17,-0.023505313123384608,0.7058823529411765
BAX,5243,15,2.0512225971070084,0.8
BBWI,5243,15,-0.1650171741204236,0.6666666666666666
BBY,5243,15,0.27154587251632356,0.6666666666666666
BDX,5243,13,2.0457937116140807,0.9230769230769231
BEN,5243,15,1.1617036976230644,0.6666666666666666
BF-B,5243,21,3.892357903094079,0.8571428571428571
BIIB,5222,15,3.044444728093641,0.8666666666666667
BIO,5233,23,5.429396193941386,0.782608695652174
BK,5243,13,1.015544010398148,0.7692307692307693
BKNG,5243,21,-0.502292037094244,0.7619047619047619
BKR,5233,19,-0.3158935602349223,0.5263157894736842
BLK,5243,14,2.1999726512576934,0.7142857142857143
BMY,5243,19,0.6222950877814605,0.6842105263157895
BR,3430,13,1.4345137489383495,0.8461538461538461
BRK-B,5243,18,2.713463209378432,0.8888888888888888
BRO,5233,16,0.8976679155986067,0.75
BSX,5243,14,-0.45047940550860377,0.5
BWA,5243,20,3.997925632245252,0.8
BXP,5243,16,0.14243305528550526,0.8125
C,5243,21,-0.7309192059601488,0.7619047619047619
CAG,5243,18,1.0400435926875389,0.7777777777777778
CAH,5243,16,0.24896161466088357,0.6875
CARR,,,,
CAT,5243,14,-0.28277852673470927,0.5714285714285714
CB,5233,17,6.243274615727959,0.8823529411764706
CBOE,2616,8,0.8329360308342576,1.0
CBRE,4129,10,0.8655782976112515,0.8
CCI,5233,22,1.9245738348757568,0.8636363636363636
CCL,5243,22,1.1298303014229392,0.7727272727272727
CDAY,636,1,0.210395209984652,1.0
CDNS,5243,18,0.39127090506301776,0.7777777777777778
CDW,1852,4,0.44659108430681427,0.75
CE,3974,14,1.8812071079351766,0.8571428571428571
CF,3834,10,-0.30677711457095025,0.4
CFG,1539,4,0.15548160739021236,0.5
CHD,5233,19,6.210544289895373,0.9473684210526315
CHRW,5243,17,6.069922858550007,0.8823529411764706
CHTR,2602,9,1.8064274834565042,1.0
CI,5243,20,0.36394299218720433,0.75
CINF,5243,20,2.0629311264857106,0.9
CL,5243,14,1.8448443845759104,0.8571428571428571
CLX,5243,15,2.199873017202303,0.9333333333333333
CMA,5243,14,0.28071705555311055,0.7142857142857143
CMCSA,5243,16,1.1287801014047172,0.8125
CME,4508,16,2.314162682283678,0.875
CMG,3719,15,1.8027903907509102,0.7333333333333333
CMI,5243,19,5.96586393915303,0.7368421052631579
CMS,5243,14,0.1372624867579257,0.7857142857142857
CNC,4737,17,3.5308443831960226,0.8235294117647058
CNP,5243,18,-0.08118925396528852,0.6666666666666666
COF,5243,18,2.4135290205913704,0.8333333333333334
COO,5243,21,3.309759279281454,0.7142857142857143
COP,5243,14,-0.134060310601066,0.6428571428571429
COST,5243,16,7.205002810223135,0.9375
CPB,5243,21,0.5681253091413917,0.7142857142857143
CPRT,5243,23,10.622437396947191,0.782608695652174
CRL,5113,18,1.4358134698923444,0.7222222222222222
CRM,4121,18,15.56873594304619,0.9444444444444444
CSCO,5243,20,2.046218719376882,0.75
CSX,5243,16,3.717520248371695,0.8125
CTAS,5243,14,1.403560155386947,0.7142857142857143
CTLT,1577,6,0.37634339778411013,0.8333333333333334
CTRA,5243,16,1.268251716925841,0.75
CTSH,5243,17,17.213369980155072,0.8823529411764706
CTVA,,,,
CVS,5243,15,2.6455582754616382,0.6666666666666666
CVX,5243,13,0.44617815153146956,0.7692307692307693
CZR,1521,7,0.9862384212564174,0.7142857142857143
D,5243,19,1.763126065500209,0.8947368421052632
DAL,3401,11,-0.07938178083415959,0.7272727272727273
DD,5243,19,0.9682505673366005,0.7894736842105263
DE,5243,13,1.5839660556751132,0.7692307692307693
DFS,3372,6,-0.20496202481778,0.6666666666666666
DG,2761,10,4.349117133182165,1.0
DGX,5243,17,1.0419675102249342,0.7058823529411765
DHI,5243,14,0.2674470160755662,0.5
DHR,5243,15,3.615597506381102,0.8666666666666667
DIS,5243,17,1.1761387431525532,0.7058823529411765
DISH,5243,22,0.40611139842433575,0.6818181818181818
DLR,4031,16,1.9257628215487526,0.8125
DLTR,5243,18,1.4516617398801255,0.6666666666666666
DOV,5243,13,1.66137246611556,0.8461538461538461
DOW,,,,
DPZ,4108,10,-0.22413196823680936,0.8
DRI,5243,18,12.526630179239753,0.7777777777777778
DTE,5243,17,2.5307610963923466,0.8823529411764706
DUK,5243,21,1.1164082648280775,0.7142857142857143
DVA,5243,20,14.11015464146214,0.85
DVN,5243,18,0.5235592732249336,0.6111111111111112
DXC,5243,22,-0.13691125887078665,0.6818181818181818
DXCM,3907,13,0.12499239531844948,0.5384615384615384
EA,5243,13,0.4940254149718436,0.6923076923076923
EBAY,5243,14,2.631691514631931,0.7857142857142857
ECL,5243,11,2.023881920227247,0.9090909090909091
ED,5243,19,2.5772134248702483,0.8421052631578947
EFX,5243,18,14.703194494604194,0.8888888888888888
EIX,5243,18,3.7109638819458737,0.7777777777777778
EL,5243,15,0.30987056626330267,0.7333333333333333
EMN,5243,20,2.550727363886035,0.7
EMR,5243,8,0.8758856910374295,0.75
ENPH,2163,10,0.7030745925073717,0.7
EOG,5243,16,-0.022785022686081822,0.6875
EPAM,2199,7,1.5158382450002055,1.0
EQIX,5089,18,-0.7779625729264348,0.6111111111111112
EQR,5233,16,1.1045730998406187,0.8125
ES,5243,18,0.4108904146215159,0.6666666666666666
ESS,5243,19,1.011689514908544,0.6842105263157895
ETN,5233,17,2.3833860309756747,0.7647058823529411
ETR,5243,15,1.7548358892154232,0.6666666666666666
ETSY,1399,7,3.949534592944785,1.0
EVRG,5243,20,1.3541707786243442,0.85
EW,5185,22,23.51775988777384,0.9090909090909091
EXC,5243,17,0.0937109543293044,0.47058823529411764
EXPD,5243,20,4.074124510958313,0.7
EXPE,3849,17,-0.1024794694619464,0.8823529411764706
EXR,4084,13,1.398564005589341,0.5384615384615384
F,5243,22,-0.767480824879683,0.45454545454545453
FANG,2027,8,-0.33410760410555035,0.375
FAST,5243,27,19.884873910504982,0.8148148148148148
FCX,5243,19,0.09086291669938085,0.5789473684210527
FDS,5243,15,1.3399652219089884,0.8
