,backtest_length,diff_list_length,total_returns,win_rate
,,,,
A,5243,4,4.177538106851792,1.0
AAL,3802,4,-0.7064907794880203,0.5
AAP,4765,4,3.779276322328624,1.0
AAPL,5243,1,0.30196366336029745,1.0
ABBV,1974,1,0.31567741942975786,1.0
ABC,5243,3,3.439537045393764,1.0
ABMD,5223,3,4.266147824237981,1.0
ABT,5243,3,1.3980197541403305,1.0
ACN,4854,1,0.3455341404322346,1.0
ADBE,5243,1,0.8118539283822803,1.0
ADI,,,,
ADM,5243,3,0.6272785887665595,1.0
ADP,5243,1,0.24775117177438877,1.0
ADSK,5243,3,1.6694663915359025,1.0
AEE,5243,1,0.23138598215473327,1.0
AEP,5243,4,2.477592354184033,1.0
AES,5243,3,-0.772820250467027,0.3333333333333333
AFL,5243,1,0.6588089373086538,1.0
AIG,5243,4,-0.9212039067839952,0.75
AIZ,4216,1,0.13468684358192748,1.0
AJG,5243,3,0.45296051033030077,0.6666666666666666
AKAM,5243,5,3.281296952194658,0.8
ALB,5243,4,6.52325820368591,1.0
ALGN,4972,6,7.070278092044569,1.0
ALK,5243,3,1.7742219871841571,0.6666666666666666
ALL,5243,3,0.29787397688010475,0.6666666666666666
ALLE,,,,
AMAT,5243,3,1.7542164200889565,1.0
AMCR,,,,
AMD,5233,5,0.8344705679485458,0.6
AME,5243,3,10.839673543938368,1.0
AMGN,5243,3,0.37114864197108915,0.6666666666666666
AMP,3810,1,2.6988389718846473,1.0
AMT,5243,1,-0.8317535598040113,0.0
AMZN,5243,1,0.11140106714241742,1.0
ANET,1615,1,-0.0567445538508892,0.0
ANSS,5233,3,3.5040569455370094,1.0
AON,5243,4,4.008534071940851,1.0
AOS,5243,4,2.4494165392592833,1.0
APA,5243,3,0.16395036891551992,0.3333333333333333
APD,5243,2,4.027333189807199,1.0
APH,5243,1,0.5692938674803495,1.0
APTV,2254,1,0.6366241753425484,1.0
ARE,5243,3,1.026824050326032,1.0
ATO,5243,2,1.347553293960586,1.0
ATVI,5243,1,0.5639914319852546,1.0
AVB,5243,3,0.5918654719816336,1.0
AVGO,,,,
AVY,5243,5,4.512435400302392,1.0
AWK,3156,1,3.891265601188245,1.0
AXP,5243,2,0.8825543707621872,0.5
AZO,5243,3,0.9152836727548144,0.6666666666666666
BA,5243,3,0.8834207785113016,1.0
BAC,5243,2,0.9377945657578083,0.5
BAX,5243,2,2.4343996047263814,1.0
BBWI,5243,4,4.469417867034873,0.75
BBY,5243,5,7.090304665017097,0.8
BDX,5243,1,0.6480075215695345,1.0
BEN,5243,1,0.6586165069248018,1.0
BF-B,5243,3,2.698000844687053,1.0
BIIB,5222,3,1.6681326186082348,1.0
BIO,5233,2,0.7993622455576693,1.0
BK,5243,1,0.04030357134952408,1.0
BKNG,5243,4,-0.12211807071290794,0.5
BKR,5233,3,3.6604329840610763,0.6666666666666666
BLK,5243,3,2.541717079689855,1.0
BMY,5243,3,0.018597308438000268,0.3333333333333333
BR,3430,3,1.2527884746465772,0.6666666666666666
BRK-B,5243,2,0.6173395440463489,1.0
BRO,5233,4,2.524086187877173,1.0
BSX,5243,1,-0.802305476003301,0.0
BWA,5243,2,1.2990335467049736,0.5
BXP,5243,1,0.8309391542099765,1.0
C,5243,3,-0.8229924195889683,0.6666666666666666
CAG,5243,5,0.7710601080524332,0.8
CAH,5243,4,0.4199393991037812,0.75
CARR,,,,
CAT,5243,2,0.6263417868488121,1.0
CB,5233,2,2.8479296997400314,1.0
CBOE,,,,
CBRE,4129,3,1.2830318701457162,1.0
CCI,5233,1,-0.8463681633792706,0.0
CCL,5243,2,1.2079759552976101,1.0
CDAY,,,,
CDNS,5243,4,0.9401132519612333,0.5
CDW,,,,
CE,3974,2,1.2594945219317852,1.0
CF,3834,1,0.32272424483646733,1.0
CFG,1539,1,0.42962956552806497,1.0
CHD,5233,1,0.7546336954725571,1.0
CHRW,5243,1,2.6667837222246127,1.0
CHTR,2602,1,0.9553018349636495,1.0
CI,5243,5,6.789703732191201,0.8
CINF,5243,4,1.4676977587281461,1.0
CL,5243,1,1.8282676027555103,1.0
CLX,5243,1,1.1501870898843556,1.0
CMA,5243,2,1.1651462572015627,0.5
CMCSA,5243,1,0.3245614648044461,1.0
CME,,,,
CMG,3719,3,2.2482263433963725,0.6666666666666666
CMI,5243,1,0.12357996974085154,1.0
CMS,5243,2,0.1954456738536458,0.5
CNC,4737,1,0.006974709838152281,1.0
CNP,5243,2,-0.3332460662586036,0.5
COF,5243,1,-0.03917528919337969,0.0
COO,5243,3,4.165589730116245,0.6666666666666666
COP,5243,3,0.6745705310287575,0.6666666666666666
COST,5243,2,0.8512318951413478,1.0
CPB,5243,2,0.448707339767901,1.0
CPRT,5243,5,2.1621011142850985,1.0
CRL,5113,4,1.8309631076998907,1.0
CRM,,,,
CSCO,5243,1,0.5853373546136024,1.0
CSX,5243,3,2.46745137338282,1.0
CTAS,5243,3,0.7878428780341812,1.0
CTLT,,,,
CTRA,5243,1,0.4203592056260377,1.0
CTSH,5243,3,5.391580703217949,1.0
CTVA,,,,
CVS,5243,3,1.3764992517942078,0.6666666666666666
CVX,5243,2,0.7652675702394794,1.0
CZR,1521,2,0.5235760884903483,1.0
D,5243,2,2.69095724546248,1.0
DAL,3401,1,0.35641484328867146,1.0
DD,5243,1,-0.14359587516758138,0.0
DE,5243,2,2.278510264781967,1.0
DFS,3372,1,0.43953901143340485,1.0
DG,2761,1,0.04880310027270485,1.0
DGX,5243,3,1.3305096960748946,1.0
DHI,5243,1,1.4551834221411477,1.0
DHR,5243,1,10.015352812620824,1.0
DIS,5243,3,2.024761494706807,1.0
DISH,5243,4,4.445362939599604,0.75
DLR,4031,1,1.55542070888404,1.0
DLTR,5243,4,16.763326123146808,1.0
DOV,5243,1,0.06196373666851758,1.0
DOW,,,,
DPZ,4108,1,-0.49465101882834,0.0
DRI,5243,1,0.5702797420355236,1.0
DTE,5243,2,1.0837070709815655,1.0
DUK,5243,2,-0.26591532968765325,0.5
DVA,5243,2,3.0584882613490105,1.0
DVN,5243,2,-0.07589442209784895,0.5
DXC,5243,5,1.4328156898889401,0.8
DXCM,3907,2,-0.14286809618261329,0.0
EA,5243,2,-0.454781085688548,0.5
EBAY,5243,3,-0.061446421998345525,0.6666666666666666
ECL,5243,1,0.5951429094587054,1.0
ED,5243,3,1.1282432530921167,1.0
EFX,5243,4,1.582665162357938,0.75
EIX,5243,3,1.9792602213366413,1.0
EL,5243,2,1.9083467449630709,1.0
EMN,5243,5,0.6607414755377509,0.6
EMR,5243,1,0.7030332091247058,1.0
ENPH,2163,2,-0.5100481271674249,0.5
EOG,5243,2,2.204821164037415,1.0
EPAM,2199,1,0.2988044304215412,1.0
EQIX,5089,1,-0.6872727365204782,0.0
EQR,5233,2,0.8250259774507351,1.0
ES,5243,2,3.497976530631903,1.0
ESS,5243,3,2.265047242921323,1.0
ETN,5233,1,2.267095711130711,1.0
ETR,5243,3,5.081295858319531,1.0
ETSY,,,,
EVRG,5243,2,1.1025510526902196,1.0
EW,5185,5,15.713859779767336,1.0
EXC,5243,3,0.2794178958794493,1.0
EXPD,5243,1,0.2034537728394179,1.0
EXPE,3849,5,3.2931714119519757,0.8
EXR,4084,2,1.0508469640708686,1.0
F,5243,5,-0.4964819380748459,0.2
FANG,,,,
FAST,5243,1,2.000565979908397,1.0
FCX,5243,4,1.835898502115428,0.5
FDS,5243,3,2.6355951985521666,1.0
FDX,5243,2,0.3887818741887517,1.0
FE,5243,5,0.7578594903787169,0.6
FFIV,5243,1,0.43300102409590224,1.0
FIS,4874,2,0.24182420571333263,1.0
FITB,5243,3,-0.6315194933689934,0.6666666666666666
FLT,2488,1,0.5494644899225335,1.0
FMC,5243,3,0.9415164383247248,0.6666666666666666
FOX,,,,
FOXA,,,,
FRT,5243,1,0.5100252942144244,1.0
FTNT,2758,1,0.18594346365980408,1.0
FTV,,,,
GD,5243,1,2.13184288176297,1.0
GE,5243,2,-0.6494098212465116,0.0
GILD,5222,1,0.13968953307786094,1.0
GIS,5243,3,1.577741644000995,1.0
GL,5243,3,5.031773737508706,1.0
GLW,5243,4,1.9611673283393467,1.0
GM,2506,1,0.34378124523600073,1.0
GNRC,2701,2,2.6373098702551068,1.0
GOOG,,,,
GOOGL,,,,
GPC,5243,3,1.0056121355104193,1.0
GPN,,,,
GRMN,5006,4,2.026717113345653,1.0
GS,5243,2,0.15617675982642337,1.0
GWW,5243,2,4.402635160558365,1.0
HAL,5243,4,1.1202168675070079,0.5
HAS,5243,3,0.965763690802366,1.0
HBAN,5243,1,-0.30555555555555564,0.0
HCA,2430,1,0.30994376380753264,1.0
HD,5243,2,0.46438267397719946,1.0
HES,5243,3,0.3800284841679195,0.6666666666666666
HIG,5243,3,3.3773148921394003,1.0
HII,2422,3,1.3798953741814024,1.0
HLT,1735,2,0.6671216897578994,1.0
HOLX,5243,3,3.70307846765386,1.0
HON,5243,2,3.0678035967221935,1.0
HPE,1270,1,0.36000417897751114,1.0
HPQ,5243,3,1.7253413027447602,0.6666666666666666
HRL,5243,1,0.1823776351822007,1.0
HSIC,,,,
HST,5243,2,0.7344585848127105,1.0
HSY,,,,
HUM,5243,2,0.5373974544667501,1.0
HWM,1008,1,0.44974735929662224,1.0
IBM,5243,2,0.038004222401718725,0.5
ICE,3766,1,0.6827667691559133,1.0
IDXX,5243,3,1.5494017063807664,1.0
IEX,5243,2,2.3279173021712394,1.0
IFF,5243,2,1.2126428299638974,1.0
ILMN,5099,4,1.4450547297640737,0.5
INCY,5243,4,6.071209985562809,1.0
INTC,5243,2,0.5578338326681389,1.0
INTU,5243,2,1.5299946569103506,1.0
IP,5243,1,11.834909648733067,1.0
IPG,5243,2,-0.1135222938215906,0.5
IPGP,,,,
IQV,,,,
IR,,,,
IRM,5243,3,1.3912335803297236,1.0
ISRG,5128,3,4.290658450257366,0.6666666666666666
IT,5243,1,0.7364506288575162,1.0
ITW,5243,3,2.077279924950344,1.0
IVZ,5243,3,-0.4081702350841637,0.3333333333333333
J,5243,3,0.7884818573037646,1.0
